standard,lemma,postag
INDUCTION,,
Enter,,
Rumor,,
painted,,
full,,
of,,
tongues,,
RUMOR,,
Open,open,vvb
your,your,po
ears,ear,n2
for,for,acp-p
which,which,crq-r
of,of,acp-p
you,you,pn
will,will,vmb
stop,stop,vvi
The,the,d
vent,vent,n1
of,of,acp-p
hearing,hear,vvg
when,when,crq-cs
loud,loud,j
Rumor,rumour,n1
speaks,speak,vvz
I,i,pns
from,from,acp-p
the,the,d
orient,orient,vvb
to,to,acp-p
the,the,d
drooping,droop,j_vg
west,west,n1
Making,make,vvg
the,the,d
wind,wind,n1
my,my,po
post-horse,post-horse,n1
still,still,av
unfold,unfold,vvi
The,the,d
acts,act,n2
commencèd,commence,vvn
on,on,acp-p
this,this,d
ball,ball,n1
of,of,acp-p
earth,earth,n1
Upon,upon,acp-p
my,my,po
tongues,tongue,n2
continual,continual,j
slanders,slander,n2
ride,ride,vvb
The,the,d
which,which,crq-r
in,in,acp-p
every,every,d
language,language,n1
I,i,pns
pronounce,pronounce,vvb
Stuffing,stuff,vvg
the,the,d
ears,ear,n2
of,of,acp-p
men,man,n2
with,with,acp-p
false,false,j
reports,report,n2
I,i,pns
speak,speak,vvb
of,of,acp-p
peace,peace,n1
while,while,cs
covert,covert,j
enmity,enmity,n1
Under,under,acp-p
the,the,d
smile,smile,n1
of,of,acp-p
safety,safety,n1
wounds,wound,vvz
the,the,d
world,world,n1
And,and,cc
who,who,crq-q
but,but,acp-p
Rumor,rumour,n1
who,who,crq-r
but,but,acp-p
only,only,av_j
I,i,pns
Make,make,vvb
fearful,fearful,j
musters,muster,n2
and,and,cc
prepared,prepare,j_vn
defense,defence,n1
Whiles,while,cs
the,the,d
big,big,j
year,year,n1
swoll'n,swell,vvn
with,with,acp-p
some,some,d
other,other,d
grief,grief,n1
Is,be,vvz
thought,think,vvn
with,with,acp-p
child,child,n1
by,by,acp-p
the,the,d
stern,stern,j
tyrant,tyrant,n1
war,war,n1
And,and,cc
no,no,d-x
such,such,d
matter,matter,n1
Rumor,rumour,n1
is,be,vvz
a,a,d
pipe,pipe,n1
Blown,blow,vvn
by,by,acp-p
surmises,surmise,n2
jealousies,jealousy,n2
conjectures,conjecture,n2
And,and,cc
of,of,acp-p
so,so,av
easy,easy,j
and,and,cc
so,so,av
plain,plain,j
a,a,d
stop,stop,n1
That,that,cs
the,the,d
blunt,blunt,j
monster,monster,n1
with,with,acp-p
uncounted,uncounted,j
heads,head,n2
The,the,d
still-discordant,still-discordant,j
wav'ring,waver,j_vg
multitude,multitude,n1
Can,can,vmb
play,play,vvi
upon,upon,acp-p
it,it,pn
But,but,acp-cc
what,what,crq-q
need,need,vvb
I,i,pns
thus,thus,av
My,my,po
well-known,well-known,j
body,body,n1
to,to,acp-cs
anatomize,anatomize,vvi
Among,among,acp-p
my,my,po
household,household,n1
Why,why,crq-q
is,be,vvz
Rumor,rumour,n1
here,here,av
I,i,pns
run,run,vvb
before,before,acp-p
King,king,n1
Harry's,Harry,n1g-nn
victory,victory,n1
Who,who,crq-r
in,in,acp-p
a,a,d
bloody,bloody,j
field,field,n1
by,by,acp-p
Shrewsbury,Shrewsbury,n1-nn
Hath,have,vvz
beaten,beat,vvn
down,down,acp-av
young,young,j
Hotspur,Hotspur,n1-nn
and,and,cc
his,his,po
troops,troop,n2
Quenching,quench,vvg
the,the,d
flame,flame,n1
of,of,acp-p
bold,bold,j
rebellion,rebellion,n1
Even,even,av
with,with,acp-p
the,the,d
rebels',rebel,n2g
blood,blood,n1
But,but,acp-cc
what,what,crq-q
mean,mean,vvb
I,i,pns
To,to,acp-cs
speak,speak,vvi
so,so,av
true,true,j
at,at,acp-p
first,first,ord
My,my,po
office,office,n1
is,be,vvz
To,to,acp-p
noise,noise,vvi
abroad,abroad,av
that,that,cs
Harry,Harry,n1-nn
Monmouth,Monmouth,n1-nn
fell,fall,vvd
Under,under,acp-p
the,the,d
wrath,wrath,n1
of,of,acp-p
noble,noble,j
Hotspur's,Hotspur,n1g-nn
sword,sword,n1
And,and,cc
that,that,cs
the,the,d
King,king,n1
before,before,acp-p
the,the,d
Douglas',Douglas,n1g-nn
rage,rage,n1
Stooped,stoop,vvd
his,his,po
anointed,anoint,j_vn
head,head,n1
as,as,acp-av
low,low,j
as,as,acp-cs
death,death,n1
This,this,d
have,have,vvb
I,i,pns
rumored,rumour,vvn
through,through,acp-p
the,the,d
peasant,peasant,n1
towns,town,n2
Between,between,acp-p
that,that,d
royal,royal,j
field,field,n1
of,of,acp-p
Shrewsbury,Shrewsbury,n1-nn
And,and,cc
this,this,d
worm-eaten,worm-eaten,j
hold,hold,n1
of,of,acp-p
ragged,ragged,j
stone,stone,n1
Where,where,crq-cs
Hotspur's,Hotspur,n1g-nn
father,father,n1
old,old,j
Northumberland,Northumberland,n1-nn
Lies,lie,vvz
crafty-sick,crafty-sick,j
The,the,d
posts,post,n2
come,come,vvb
tiring,tire,vvg
on,on,acp-av
And,and,cc
not,not,xx
a,a,d
man,man,n1
of,of,acp-p
them,they,pno
brings,bring,vvz
other,other,d
news,news,n1
Than,than,cs
they,they,pns
have,have,vvb
learnt,learn,vvn
of,of,acp-p
me,i,pno
From,from,acp-p
Rumor's,rumour,n1g
tongues,tongue,n2
They,they,pns
bring,bring,vvb
smooth,smooth,j
comforts,comfort,n2
false,false,j
worse,worse,av-c_j
than,than,cs
true,true,j
wrongs,wrong,n2_j
Rumor,,
exits,,
ACT,,
1,,
Scene,,
1,,
Enter,,
the,,
Lord,,
Bardolph,,
at,,
one,,
door,,
LORD,,
BARDOLPH,,
Who,who,crq-q
keeps,keep,vvz
the,the,d
gate,gate,n1
here,here,av
ho,ho,uh
Enter,,
the,,
Porter,,
Where,where,crq-q
is,be,vvz
the,the,d
Earl,earl,n1
PORTER,,
What,what,crq-q
shall,shall,vmb
I,i,pns
say,say,vvi
you,you,pn
are,be,vvb
LORD,,
BARDOLPH,,
Tell,tell,vvb
thou,thou,pns
the,the,d
Earl,earl,n1
That,that,cs
the,the,d
Lord,lord,n1
Bardolph,Bardolph,n1-nn
doth,do,vvz
attend,attend,vvi
him,he,pno
here,here,av
PORTER,,
His,his,po
Lordship,lordship,n1
is,be,vvz
walked,walk,vvn
forth,forth,av
into,into,acp-p
the,the,d
